date,total_servers
2026-07-15,7083
2026-07-16,7138
2026-07-17,7158
2026-07-18,7187
2026-07-19,7184
2026-07-20,7207
2026-07-21,7234
2026-07-22,7271
2026-07-23,7316
2026-07-24,7330
2026-07-25,7345
2026-07-26,7385
